title,projectname,builder,price,per_sqft,area,status,place,rating
3  BHK  Apartment,Ecogreen Casa Traimbak,Eco Green Builders,6598000,"4,200 / sq ft",1571,Under Construction,Gundlapochampally,0.0
4  BHK  Villa,Elemental Village,Elemental Realty,14800000,"7,700 / sq ft",1930,Under Construction,Patancheru,0.0
4  BHK  Villa,Riddhi Laxman County,Riddhi Group,29900000,"7,200 / sq ft",4157,Under Construction,Tukkuguda,0.0
4  BHK  Villa,APR Praveens Hillside,APR Group,40800000,"12,000 / sq ft",3400,Under Construction,Bachupally,0.0
4  BHK  Villa,Sri GREENTECH O2 Community,Sri Aditya Squares,17500000,"5,500 / sq ft",3183,Under Construction,Ramachandrapuram,0.0
3  BHK  Apartment,Pallavi Gardenia,Pallavi Developers,8935000,"6,158 / sq ft",1451,Under Construction,Nagole,0.0
3  BHK  Apartment,IRA Miracle,Ira Reality,11399999,"5,299 / sq ft",2155,Under Construction,Kollur,0.0
4  BHK  Villa,Grenstone Siri Elite,Grenstone Infra,14000000,"5,200 / sq ft",2701,Under Construction,Maheshwaram,0.0
4  BHK  Apartment,Mahaveer Crystal Garden,Mahaveer Group,35200000,"7,500 / sq ft",4706,Under Construction,Attapur,0.0
Residential Plot,G Square Epitome Integrated City,G square Housing,4899000,"2,039 / sq ft",2403,New,Choutuppal,0.0
4  BHK  Villa,Sri GREENTECH O2 Community,Sri Aditya Squares,27700000,"5,500 / sq ft",5037,Under Construction,Ramachandrapuram,0.0
3  BHK  Apartment,Vasavi Nandanam,Vasavi Group,10800000,"5,500 / sq ft",1965,Under Construction,Jeedimetla,0.0
3  BHK  Apartment,Om Sree Brilliance,Om Sree Builders And Developers,13400000,"6,100 / sq ft",2200,Under Construction,Sainikpuri,0.0
3  BHK  Apartment,Ecogreen Casa Traimbak,Eco Green Builders,6241000,"4,200 / sq ft",1486,Under Construction,Gundlapochampally,0.0
4  BHK  Apartment,Hallmark Treasor,Hallmark Builders,43099999,"8,499 / sq ft",5080,Under Construction,Gandipet,0.0
4  BHK  Villa,Sri GREENTECH O2 Community,Sri Aditya Squares,25299999,"5,500 / sq ft",4614,Under Construction,Ramachandrapuram,0.0
