title,projectname,builder,price,per_sqft,area,status,place,rating
3  BHK  Apartment,Lalitha Divine County,Lalitha Construction and Developers,7520999,"4,900 / sq ft",1535,Under Construction,Ameenpur,0
3  BHK  Villa,Nest Bliss In The Woods,Nest Makers,33100000,"8,275 / sq ft",4000,Under Construction,Harshaguda,0
3  BHK  Apartment,GHR Callisto,GHR Infra,9228000,"5,199 / sq ft",1775,Under Construction,Kollur,0
2  BHK  Apartment,Dinesh Auric,Dinesh Projects,5649000,"4,803 / sq ft",1177,Under Construction,Bachupally,0
3  BHK  Apartment,Namishree BPS Twin Towers,Namishree Infrastructure And Project Pvt Ltd,10800000,"6,000 / sq ft",1800,Under Construction,Saidabad,0
3  BHK  Apartment,Om Sree Gallaxy,Om Sree Builders And Developers,11800000,"6,100 / sq ft",1935,Under Construction,Gundlapochampally,0
3  BHK  Apartment,Primark De Stature,Primark Projects Pvt Ltd,9797000,"4,699 / sq ft",2085,Under Construction,Kompally,0
3  BHK  Apartment,Vazhraa Vazhraa Prathik,Vazhraa Nirmaan Pvt Ltd,11900000,"6,500 / sq ft",1835,Under Construction,Nizampet,0
3  BHK  Apartment,Kalpataru Avante,Kalpataru Group,21900000,"9,546 / sq ft",2294,Under Construction,Sanath Nagar,0
3  BHK  Apartment,Signature Altius,Signature Avenues,12100000,"4,999 / sq ft",2425,Under Construction,Kollur,0
3  BHK  Apartment,Hallmark Pinnacle,Hallmark Builders,10900000,"5,802 / sq ft",1885,Under Construction,Patighanpur,0
3  BHK  Apartment,GSR Avasa EVK,GSR Group,8222000,"3,499 / sq ft",2350,Under Construction,Kollur,0
3  BHK  Apartment,Aavasa Constructions Emerald,Aavasa Constructions,15200000,"6,500 / sq ft",2345,Under Construction,Saroor Nagar,0
2  BHK  Apartment,IRA M3,Ira Reality,5523000,"4,999 / sq ft",1105,Under Construction,Kollur,0
3  BHK  Apartment,Engineers Sri Tirumala Millennium Phase III,EAPL Group,10900000,"4,999 / sq ft",2187,Under Construction,Mallapur,0
2  BHK  Apartment,Srija Twin Towers,Srija Infra Developers Hyderabad,5467000,"4,800 / sq ft",1139,Under Construction,Dammaiguda,0
3  BHK  Apartment,Merlion Galaxia,Merlion Builders,8681000,"5,600 / sq ft",1551,Under Construction,Nizampet,0
2  BHK  Apartment,My Home Sayuk,My Home Constructions Pvt Ltd,12000000,"8,856 / sq ft",1355,Under Construction,Tellapur,0
3  BHK  Apartment,Lalitha Divine County,Lalitha Construction and Developers,7105000,"4,900 / sq ft",1450,Under Construction,Ameenpur,0
2  BHK  Apartment,Cybercity Oriana,Cyber City Oriana,13500000,"9,310 / sq ft",1450,Under Construction,Kukatpally,0
3  BHK  Apartment,Shree GNR Vasavi Nirvana,Shree Vasavi Developers,13799999,"6,899 / sq ft",2005,Under Construction,Attapur,0
5  BHK  Villa,Nest Bliss In The Woods,Nest Makers,58200000,"9,700 / sq ft",6000,Under Construction,Harshaguda,0
3  BHK  Apartment,Primark De Stature,Primark Projects Pvt Ltd,7118000,"4,699 / sq ft",1515,Under Construction,Kompally,0
4  BHK  Villa,Vajra Nature City,Vajra Builders And Developers,16100000,"7,000 / sq ft",2300,Ready to move,Bachupally,0
2  BHK  Apartment,GHR Callisto,GHR Infra,6731999,"5,199 / sq ft",1295,Under Construction,Kollur,0
3  BHK  Apartment,Kalpataru Avante,Kalpataru Group,21900000,"9,546 / sq ft",2294,Under Construction,Sanath Nagar,0
3  BHK  Apartment,Vasavi Signature,Vasavi Group,18200000,"8,000 / sq ft",2285,Ready to move,Kukatpally,0
2  BHK  Apartment,Dinesh Auric,Dinesh Projects,5649000,"4,803 / sq ft",1177,Under Construction,Bachupally,0
3  BHK  Apartment,GSR Avasa EVK,GSR Group,6998000,"3,499 / sq ft",2000,Under Construction,Kollur,0
3  BHK  Apartment,Riddhi Pramukh Elegance,Riddhi Group,10600000,"5,800 / sq ft",1840,Under Construction,Jeedimetla,0
3  BHK  Apartment,Namishree BPS Twin Towers,Namishree Infrastructure And Project Pvt Ltd,7830000,"6,000 / sq ft",1305,Under Construction,Saidabad,0
3  BHK  Apartment,Engineers Sri Tirumala Millennium Phase III,EAPL Group,10900000,"4,999 / sq ft",2187,Under Construction,Mallapur,0
3  BHK  Apartment,Theme Imperial,Theme Ambience Infrastructures,14200000,"6,800 / sq ft",2090,Under Construction,Attapur,0
3  BHK  Apartment,Om Sree Gallaxy,Om Sree Builders And Developers,11800000,"6,100 / sq ft",1935,Under Construction,Gundlapochampally,0
2  BHK  Apartment,Lalitha Divine County,Lalitha Construction and Developers,5414000,"4,900 / sq ft",1105,Under Construction,Ameenpur,0
3  BHK  Apartment,Signature Altius,Signature Avenues,9498000,"4,999 / sq ft",1900,Under Construction,Kollur,0
3  BHK  Apartment,Vazhraa Vazhraa Prathik,Vazhraa Nirmaan Pvt Ltd,11900000,"6,500 / sq ft",1835,Under Construction,Nizampet,0
5  BHK  Villa,Nest Bliss In The Woods,Nest Makers,93000000,"10,334 / sq ft",9000,Under Construction,Harshaguda,0
2  BHK  Apartment,Aavasa Constructions Emerald,Aavasa Constructions,8515000,"6,500 / sq ft",1310,Under Construction,Saroor Nagar,0
2  BHK  Apartment,Srija Twin Towers,Srija Infra Developers Hyderabad,5001000,"4,800 / sq ft",1042,Under Construction,Dammaiguda,0
3  BHK  Apartment,Hallmark Pinnacle,Hallmark Builders,10900000,"5,802 / sq ft",1885,Under Construction,Patighanpur,0
4  BHK  Villa,IRA Elevate Villas,Ira Reality,73500000,"12,000 / sq ft",6125,Under Construction,Mamidipally,0
2  BHK  Apartment,GHR Callisto,GHR Infra,6212000,"5,199 / sq ft",1195,Under Construction,Kollur,0
3  BHK  Apartment,Cybercity Oriana,Cyber City Oriana,22000000,"9,909 / sq ft",2220,Under Construction,Kukatpally,0
3  BHK  Apartment,Merlion Galaxia,Merlion Builders,10300000,"5,600 / sq ft",1854,Under Construction,Nizampet,0
2  BHK  Apartment,Dinesh Auric,Dinesh Projects,4986000,"4,804 / sq ft",1039,Under Construction,Bachupally,0
3  BHK  Apartment,My Home Sayuk,My Home Constructions Pvt Ltd,15000000,"7,788 / sq ft",1926,Under Construction,Tellapur,0
3  BHK  Apartment,Namishree BPS Twin Towers,Namishree Infrastructure And Project Pvt Ltd,10200000,"6,000 / sq ft",1705,Under Construction,Saidabad,0
3  BHK  Apartment,Shree GNR Vasavi Nirvana,Shree Vasavi Developers,12000000,"6,899 / sq ft",1745,Under Construction,Attapur,0
3  BHK  Apartment,Vajra The Royal Park,Vajra Builders And Developers,6447000,"4,200 / sq ft",1535,Under Construction,Bowrampet,0
2  BHK  Apartment,Om Sree Gallaxy,Om Sree Builders And Developers,7841000,"6,102 / sq ft",1285,Under Construction,Gundlapochampally,0
3  BHK  Apartment,Vasavi Signature,Vasavi Group,18200000,"8,000 / sq ft",2285,Ready to move,Kukatpally,0
3  BHK  Apartment,Riddhi Pramukh Elegance,Riddhi Group,8758000,"5,800 / sq ft",1510,Under Construction,Jeedimetla,0
3  BHK  Apartment,Vazhraa Vazhraa Prathik,Vazhraa Nirmaan Pvt Ltd,12100000,"6,500 / sq ft",1870,Under Construction,Nizampet,0
4  BHK  Apartment,Theme Imperial,Theme Ambience Infrastructures,18000000,"6,800 / sq ft",2655,Under Construction,Attapur,0
2  BHK  Apartment,Hallmark Pinnacle,Hallmark Builders,7451000,"5,799 / sq ft",1285,Under Construction,Patighanpur,0
4  BHK  Villa,IRA Elevate Villas,Ira Reality,73200000,"12,000 / sq ft",6105,Under Construction,Mamidipally,0
3  BHK  Apartment,Merlion Galaxia,Merlion Builders,9770000,"5,599 / sq ft",1745,Under Construction,Nizampet,0
2  BHK  Apartment,My Home Sayuk,My Home Constructions Pvt Ltd,13000000,"8,264 / sq ft",1573,Under Construction,Tellapur,0
3  BHK  Apartment,Shree GNR Vasavi Nirvana,Shree Vasavi Developers,16800000,"6,899 / sq ft",2440,Under Construction,Attapur,0
